language,OpenIssuesCount,ForksCount,Size
C#,73,7821,7601
C#,2174,3659,163473
C#,138,409,75189
C#,1506,2180,198191
C#,1115,1282,32675
C#,4206,2072,264860
C#,272,2223,48768
C#,0,314,499
C#,459,795,29437
C#,492,2071,39805
C#,351,1082,38840
C#,177,2749,464410
C#,141,1352,45129
C#,750,1504,56236
C#,14,1224,71307
C#,162,1880,24845
C#,324,1910,27914
C#,134,1593,37270
C#,886,2039,72892
C#,1417,1426,127855
C#,277,1838,215959
C#,130,1558,62139
C#,85,1132,24107
C#,39,1389,219287
C#,36,1449,398546
C#,94,534,45965
C#,17,221,1397
C#,195,807,29512
C#,163,1500,12606
C#,73,1529,275596
C#,311,1780,25990
C#,89,646,20916
C#,32,479,598
C#,454,403,19836
C#,100,673,77188
C#,330,837,43376
C#,154,1186,1266
C#,736,726,22816
C#,34,329,2243
C#,228,255,155613
C#,44,652,124499
C#,340,796,27060
C#,306,932,128071
C#,181,291,48506
C#,71,476,6026
C#,343,539,244671
C#,11,369,185882
C#,44,524,16827
C#,183,865,106655
C#,68,504,250
C,191,19687,2039623
C,1518,10219,70505
C,298,2150,21481
C,112,11754,105533
C,1588,4869,7947
C,65,2990,5986
C,81,1148,13798
C,344,917,2315
C,1299,1639,155279
C,129,4542,305149
C,55,5364,27512
C,612,1391,76003
C,334,593,5431
C,80,2137,7865
C,2,4055,201803
C,29,638,8728
C,101,1092,40458
C,164,1340,12405
C,57,1858,24073
C,91,540,10740
C,207,2213,2582
C,925,5929,1358686
C,184,1431,2151
C,27,1913,16358
C,189,1233,2253
C,23,2243,7191
C,357,548,88994
C,409,913,86458
C,52,1572,116921
C,107,331,477
C,50,452,2493
C,80,2044,49904
C,92,1074,3891
C,185,1717,19114
C,247,1615,36927
C,810,1261,78450
C,111,456,4676
C,103,2570,3184
C,8,496,89637
C,84,1519,372243
C,1723,2440,54336
C,496,3002,137610
C,9,785,42721
C,101,1574,4983
C,686,1735,3169
C,22,533,12609
C,448,1397,33039
C,15,557,30852
C,287,956,11420
C,152,1213,12514
Java,31,5201,46478
Java,174,8840,16674
Java,1352,9597,379143
Java,67,5066,4553
Java,141,5716,16433
Java,736,4877,194921
Java,1228,5573,20824
Java,64,2128,428144
Java,60,3898,3541
Java,107,3802,47128
Java,518,15378,69090
Java,177,12350,107541
Java,43,2930,24644
Java,21,2612,127594
Java,91,3867,1509
Java,13,7043,238735
Java,14,2471,19359
Java,440,6493,25335
Java,62,5300,46858
Java,40,4872,8570
Java,194,3723,9169
Java,6,2422,784
Java,415,11261,8103
Java,172,3480,64978
Java,231,5518,984181
Java,372,5668,50174
Java,58,3201,16759
Java,169,2390,9518
Java,15,2245,154036
Java,490,3808,11524
Java,22,2493,61853
Java,307,5555,32085
Java,22,2277,4006
Java,14,2217,8730
Java,112,2572,5176
Java,40,2172,31097
Java,220,4340,2445
Java,51,2460,21799
Java,214,4293,8657
Java,307,2393,399
Java,157,2520,7145
Java,114,3737,10874
Java,666,3976,51226
Java,47,1796,27015
Java,84,824,2052
Java,342,1418,54858
Java,415,3477,1500329
Java,35,2828,7836
Java,31,1961,288
Java,20,2243,965
Ruby,1123,15456,157967
Ruby,141,7159,13971
Ruby,5,2753,1471
Ruby,0,13256,1432774
Ruby,13,5880,190876
Ruby,2,2595,171
Ruby,15,5337,311642
Ruby,348,3007,59418
Ruby,142,4183,4897
Ruby,251,1940,7352
Ruby,48,1035,13574
Ruby,16,2007,1580
Ruby,423,3315,19714
Ruby,139,3693,166975
Ruby,53,3305,3079
Ruby,10,1383,1452
Ruby,47,5679,99835
Ruby,820,2168,53692
Ruby,411,2857,102955
Ruby,180,1922,13312
Ruby,458,6172,329002
Ruby,26,2474,22422
Ruby,36,1633,4119
Ruby,107,1872,54979
Ruby,82,1749,6130
Ruby,271,2960,170801
Ruby,248,3996,87480
Ruby,237,1961,3331
Ruby,12,928,2981
Ruby,290,1574,18834
Ruby,1069,2338,99818
Ruby,182,1006,4431
Ruby,473,833,2431
Ruby,10,1174,9476
Ruby,7,1411,9401
Ruby,73,1492,2314
Ruby,195,1393,3243
Ruby,187,2769,7391
Ruby,137,343,2231
Ruby,59,658,486
Ruby,89,457,706
Ruby,3,1095,435
Ruby,54,1150,2337
Ruby,16,903,1306
Ruby,410,1971,16462
Ruby,54,827,2859
Ruby,6,331,8376
Ruby,46,417,1235
Ruby,264,843,8361
Ruby,112,643,22520
JavaScript,137,13158,30999
JavaScript,444,15792,132429
JavaScript,76,11351,22153
JavaScript,3,18356,35814
JavaScript,110,12200,2424
JavaScript,685,28733,91896
JavaScript,708,13261,173593
JavaScript,103,13961,27432
JavaScript,794,9111,340170
JavaScript,964,8163,295605
JavaScript,404,7222,4556
JavaScript,10,9512,13641
JavaScript,125,4904,73290
JavaScript,1308,4185,105048
JavaScript,343,11373,7865
JavaScript,204,7201,12219
JavaScript,885,13962,565711
JavaScript,30,8407,5707
JavaScript,161,6428,8875
JavaScript,511,4416,10148
JavaScript,299,5192,14886
JavaScript,344,8382,9659
JavaScript,31,894,411
JavaScript,33,6763,4094
JavaScript,211,2206,2391
JavaScript,144,5749,34036
JavaScript,370,4325,157313
JavaScript,45,5459,84
JavaScript,930,1582,113999
JavaScript,2116,6177,90113
JavaScript,0,2973,45406
JavaScript,27,4105,957
JavaScript,51,7568,3308
JavaScript,273,2212,776
JavaScript,69,5751,26644
JavaScript,45,5918,7999
JavaScript,682,5754,129138
JavaScript,122,9781,757
JavaScript,175,4094,16142
JavaScript,504,2313,29032
JavaScript,109,5659,25875
JavaScript,1045,1248,86649
JavaScript,29,1959,2148
JavaScript,18,2137,4563
JavaScript,195,12605,61313
JavaScript,1855,6833,133765
JavaScript,361,1634,9148
JavaScript,103,5004,4362
JavaScript,205,2892,35766
JavaScript,58,1262,20545
Haskell,391,1239,27427
Haskell,64,433,2277
Haskell,311,497,2865
Haskell,190,351,9222
Haskell,76,322,7414
Haskell,5,256,378
Haskell,627,499,10982
Haskell,478,527,35061
Haskell,16,155,961
Haskell,119,310,7904
Haskell,204,131,4956
Haskell,0,466,195397
Haskell,71,88,725
Haskell,82,308,18212
Haskell,161,92,7670
Haskell,13,59,4740
Haskell,57,176,5569
Haskell,182,172,1964
Haskell,8,152,1515
Haskell,6,53,19528
Haskell,24,124,17533
Haskell,55,103,4118
Haskell,13,138,1985
Haskell,27,42,5057
Haskell,52,189,27112
Haskell,180,163,34443
Haskell,16,85,2477
Haskell,5,155,4673
Haskell,46,116,498
Haskell,39,223,1105
Haskell,8,46,268
Haskell,6,22,464
Haskell,10,150,11361
Haskell,132,199,4965
Haskell,36,72,4193
Haskell,140,79,2139
Haskell,48,115,5138
Haskell,25,101,3634
Haskell,994,417,29436
Haskell,0,46,14
Haskell,15,23,33230
Haskell,20,43,1478
Haskell,33,39,655
Haskell,62,96,78830
Haskell,77,61,2605
Haskell,194,97,21666
Haskell,15,756,3426
Haskell,95,87,2099
Haskell,172,92,2292
Haskell,7,50,171
Python,31,5201,46478
Python,174,8840,16674
Python,1352,9597,379143
Python,67,5066,4553
Python,141,5716,16433
Python,736,4877,194921
Python,1228,5573,20824
Python,64,2128,428144
Python,60,3898,3541
Python,107,3802,47128
Python,518,15378,69090
Python,177,12350,107541
Python,43,2930,24644
Python,21,2612,127594
Python,91,3867,1509
Python,13,7043,238735
Python,14,2471,19359
Python,440,6493,25335
Python,62,5300,46858
Python,40,4872,8570
Python,194,3723,9169
Python,6,2422,784
Python,415,11261,8103
Python,172,3480,64978
Python,231,5518,984181
Python,372,5668,50174
Python,58,3201,16759
Python,169,2390,9518
Python,15,2245,154036
Python,490,3808,11524
Python,22,2493,61853
Python,307,5555,32085
Python,22,2277,4006
Python,14,2217,8730
Python,112,2572,5176
Python,40,2172,31097
Python,220,4340,2445
Python,51,2460,21799
Python,214,4293,8657
Python,307,2393,399
Python,157,2520,7145
Python,114,3737,10874
Python,666,3976,51226
Python,47,1796,27015
Python,84,824,2052
Python,342,1418,54858
Python,415,3477,1500329
Python,35,2828,7836
Python,31,1961,288
Python,20,2243,965
Assembly,75,3479,2039
Assembly,0,489,847
Assembly,73,241,211781
Assembly,2,278,61145
Assembly,123,476,23017
Assembly,0,188,1376417
Assembly,10,707,2231
Assembly,172,172,57862
Assembly,23,310,1103
Assembly,7,102,80
Assembly,17,320,6511
Assembly,12,227,12154
Assembly,10,550,592
Assembly,104,191,5818
Assembly,31,185,32632
Assembly,4,57,109
Assembly,1,110,25
Assembly,0,43,2035
Assembly,4,81,16119
Assembly,201,123,31196
Assembly,1,73,7687
Assembly,0,31,171
Assembly,1,28,96
Assembly,12,132,224606
Assembly,100,359,142789
Assembly,71,332,786
Assembly,1,200,15007
Assembly,3,81,1693
Assembly,46,27,7230
Assembly,6,36,32399
Assembly,11,67,338
Assembly,1,26,605
Assembly,0,27,117
Assembly,0,40,6555
Assembly,13,110,23464
Assembly,2,23,1426
Assembly,0,44,862
Assembly,4,7,1275
Assembly,17,38,18212
Assembly,0,30,800
Assembly,14,57,6322
Assembly,0,7,87
Assembly,1,115,103174
Assembly,0,36,506
Assembly,5,44,4698
Assembly,0,24,1014
Assembly,3,77,22304
Assembly,7,132,2496
Assembly,1,45,5978
Assembly,0,11,40
